segment_id,session_id,source_file,sample_count,duration_s,alignment_status,alignment_confidence,alignment_available,heading_observed,stationary_fraction,gyro_bias_magnitude_rps,accel_bias_magnitude_mps2,seconds_per_sample,error,final_speed_mps,max_speed_mps,path_length_m,integrated_steps,skipped_steps,irregular_steps,lag_s,lag_accepted,zero_lag_speed_rmse_mps,best_lag_speed_rmse_mps,zero_lag_position_rmse_m,best_lag_position_rmse_m,final_horizontal_error_m,position_drift_mps,yaw_offset_removed_deg
2addd6cdb9c9:000,A11,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-A11.csv,5155,2577.0,INSUFFICIENT_MOTION,0.0,False,False,0.1309,0.000106,0.127182,3.081759456606089e-05,,38.359,42.339,41856.1,3317,1837,0,0.0,False,22.758,22.758,17232.5,17232.5,21432.4,8.3168,-82.52
2c7f5ff63717:000,T9,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-T9.csv,79909,7990.717,SUCCESS,0.0449,True,False,0.1912,0.004424,0.031637,4.96543030197481e-05,,156.646,156.646,523684.1,79908,0,1,0.0,False,73.819,73.819,53025.9,53025.9,36192.0,4.5293,-165.63
31640a5f5290:000,A13,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-A13.csv,9184,4591.5,MAG_DISTURBED,0.0,False,False,0.0787,0.000106,0.116868,2.696393728131495e-05,,51.861,61.65,73873.3,4648,4535,0,0.0,False,30.988,30.988,36865.5,36865.5,41069.0,8.9446,145.08
31906be512c4:000,VW10,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw10.csv,652,65.1,SUCCESS,0.2679,True,True,0.0,0.0,0.0,5.846242330207038e-05,,152.458,153.296,4077.8,651,0,0,0.0,False,66.477,66.477,1241.6,1241.6,3068.6,47.1362,
3590c6ee231d:000,A8,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-A8.csv,66617,6661.6,INSUFFICIENT_MOTION,0.0,False,False,0.0022,0.001789,0.006314,4.2674844259099634e-05,,556.405,556.428,1757721.7,66616,0,0,0.0,False,306.135,306.135,119054.9,119054.9,347704.8,52.1954,40.68
35b361cd3f66:000,VTA26,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta26.csv,1935,193.4,SUCCESS,0.2582,True,True,0.292,0.000947,0.049735,4.593503875934666e-05,,88.417,134.852,20601.2,1934,0,0,0.0,False,106.751,106.751,10395.2,10395.2,18797.0,97.1923,
392d0b39dc43:000,T8,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-T8.csv,48344,4833.806,SUCCESS,0.0533,True,False,0.2208,0.003141,0.049375,4.3591897650191656e-05,,169.089,171.817,348733.4,48340,3,8,0.0,False,76.615,76.615,96452.4,96452.4,235772.5,48.7758,-139.08
39c4ae392225:000,VW6,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw6.csv,1281,128.0,SUCCESS,0.1023,True,True,0.0,0.0,0.0,5.022435596559537e-05,,159.21,167.779,12065.4,1280,0,0,10.4,True,104.661,97.801,4349.1,3647.8,8297.0,64.8204,
3b82987cb99d:000,VTA3,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vta3.csv,645,64.4,SUCCESS,0.1824,True,True,0.0465,0.012935,0.032492,5.963224806649567e-05,,39.48,39.48,864.7,644,0,0,-4.2,True,16.715,16.669,245.6,267.7,391.9,6.0858,
3c912d93a732:000,VTB7,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vtb7.csv,461,46.001,INSUFFICIENT_MOTION,0.0,False,True,0.0,0.0,0.0,6.304121475364738e-05,,52.862,59.104,1697.8,460,0,0,-1.8,True,37.357,38.432,740.1,775.9,1694.7,36.8396,
3db4ee68418f:000,VW12,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vw12.csv,918,91.7,SUCCESS,0.1194,True,True,0.0,0.0,0.0,5.385697167024345e-05,,98.481,99.015,5185.7,917,0,0,0.0,False,37.895,37.895,987.2,987.2,2411.7,26.3001,
4132d57199e8:000,VTB1,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vtb1.csv,32459,3245.799,SUCCESS,0.0826,True,False,0.0251,0.001189,0.049997,4.108806186282385e-05,,1600.585,1601.105,1881372.8,27001,5457,1168,0.0,False,795.565,795.565,163632.7,163632.7,323044.7,99.527,133.39
413a1f581614:000,VTA14,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vta14.csv,2885,288.4,SUCCESS,0.1543,True,False,0.0,0.0,0.0,4.375552859656074e-05,,100.343,101.349,15292.7,2884,0,0,0.0,False,46.018,46.018,3196.6,3196.6,7878.9,27.3195,177.25
437e6ff31147:000,VTB6,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vtb6.csv,498,49.7,INSUFFICIENT_MOTION,0.0,False,True,0.0,0.0,0.0,6.195502006799453e-05,,24.099,24.099,658.8,497,0,0,13.4,True,8.491,7.681,536.3,565.4,888.1,17.8684,
43dd8e5594fd:000,T7,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-T7.csv,101690,10170.086,SUCCESS,0.1633,True,False,0.2111,0.000189,0.070936,4.563920641162293e-05,,506.885,521.496,3942029.7,101687,2,0,0.0,False,416.489,416.489,1841546.2,1841546.2,3729396.5,366.7026,85.18
45a91123027b:000,S3C,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-S3c.csv,37183,3718.199,MAG_DISTURBED,0.0,False,False,0.1194,0.000677,0.04199,4.3647064518816055e-05,,725.154,735.519,1862659.5,37182,0,0,0.0,False,522.943,522.943,565606.3,565606.3,927739.2,249.513,39.89
4a3b9065b673:000,S4,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-S4.csv,94600,9773.105,SUCCESS,0.0338,True,False,0.1111,0.002944,0.048649,4.7754252642781e-05,,2525.251,2525.641,11572954.2,94597,2,0,0.0,False,1446.452,1446.452,999683.4,999683.4,2286444.3,233.9527,-62.3
4e0f18c9aeea:000,Y1,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Y1.csv,70285,7391.318,MAG_DISTURBED,0.0,False,False,0.0893,0.001957,0.03385,4.53601579282704e-05,,2645.921,2648.094,8075804.1,70281,3,1,0.0,False,1329.432,1329.432,1289273.7,1289273.7,2587212.3,350.034,171.23
4e255b689bb1:000,VTA20,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vta20.csv,3223,322.2,SUCCESS,0.5987,True,True,0.3773,0.001866,0.056816,4.320279242778749e-05,,114.231,114.441,3248.3,3222,0,0,0.0,False,9.978,9.978,451.2,451.2,2290.4,7.1085,
4eaf1873275a:000,S3C,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S3c.csv,37183,3718.199,MAG_DISTURBED,0.0,False,False,0.1194,0.000677,0.04199,4.3843027727716716e-05,,726.769,737.251,1876803.2,37182,0,0,0.0,False,526.598,526.598,581011.1,581011.1,954197.1,256.6288,37.81
51abe4136abb:000,VW2,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vw2.csv,52713,5271.199,SUCCESS,0.1772,True,False,0.037,0.01155,0.065392,4.508483296329999e-05,,2422.398,2422.398,7468386.2,52712,0,0,0.0,False,1496.233,1496.233,1643961.7,1643961.7,3148183.6,597.2424,122.61
538064be488d:000,VTB12,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vtb12.csv,447,44.601,INSUFFICIENT_MOTION,0.0,False,False,0.0,0.0,0.0,6.276599555515936e-05,,25.285,46.342,1206.3,446,0,0,15.0,True,26.722,18.093,239.9,163.5,13.4,0.3011,-4.18
53a4a5b9494e:000,VW8,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vw8.csv,1529,152.8,SUCCESS,0.0517,True,True,0.0033,0.0,0.0,4.9523217790102874e-05,,339.839,377.659,28131.7,1528,0,0,-14.0,True,221.373,232.346,7840.3,9530.9,22052.2,144.3204,
55296eaadaa7:000,VTA11,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta11.csv,510,50.9,INSUFFICIENT_MOTION,0.0,False,True,0.0,0.0,0.0,6.049450982804867e-05,,91.439,91.439,2787.7,509,0,0,0.0,False,50.497,50.497,732.7,732.7,443.6,8.7161,
5851902ce5d4:000,S2,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-S2.csv,93876,9388.608,SUCCESS,0.0465,True,False,0.1201,0.002845,0.066774,4.5317971579419606e-05,,3866.553,3866.653,17840483.7,93874,1,0,0.0,False,2185.447,2185.447,2569420.3,2569420.3,5206029.0,554.5049,92.9
5a5de2c15ce2:000,VTA27,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta27.csv,2540,253.9,SUCCESS,0.2376,True,True,0.102,0.002329,0.041523,4.4655787399200006e-05,,277.256,289.819,40918.9,2539,0,0,0.0,False,193.802,193.802,16072.2,16072.2,34894.3,137.4333,
5b2fbe40e507:000,S3B,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3b/S-S3b.csv,6813,685.528,SUCCESS,0.0116,True,False,0.1017,0.006297,0.025783,4.222976662267167e-05,,552.454,566.059,268275.2,6811,1,0,0.0,False,413.969,413.969,64630.4,64630.4,128705.8,187.7469,-68.05
5d09dd027359:000,VTA6,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vta6.csv,1376,137.5,SUCCESS,0.1437,True,True,0.0,0.0,0.0,4.870239825872569e-05,,96.991,96.991,7380.1,1375,0,0,0.0,False,39.963,39.963,4592.2,4592.2,8507.4,61.8722,
5d699a3e20de:000,VTB6,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vtb6.csv,498,49.7,INSUFFICIENT_MOTION,0.0,False,True,0.0,0.0,0.0,6.0829518080724544e-05,,24.099,24.099,658.8,497,0,0,13.4,True,8.491,7.681,536.3,565.4,888.1,17.8684,
5edb201c6796:000,VW16B,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vw16b.csv,1126,112.501,SUCCESS,0.6791,True,True,0.0,0.0,0.0,5.31947602144464e-05,,54.548,77.713,5001.7,1125,0,0,0.0,False,34.308,34.308,2182.8,2182.8,3943.8,35.056,
62fb3e3d9457:000,VTA16,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vta16.csv,11335,1133.4,SUCCESS,0.0471,True,True,0.0441,0.003436,0.060447,4.926864578746864e-05,,398.667,399.064,170170.7,11334,0,0,0.0,False,174.444,174.444,27742.8,27742.8,72005.5,63.5305,
63dcb0fceb5e:000,VTA22,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta22.csv,1564,156.301,SUCCESS,0.0994,True,True,0.0,0.0,0.0,4.894840153110752e-05,,100.702,135.038,12493.4,1563,0,0,0.0,False,81.933,81.933,4541.9,4541.9,9414.8,60.2349,
65348172ad4e:000,VFA02,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vfa02.csv,67523,6752.201,SUCCESS,0.5757,True,False,0.0105,0.008326,0.035171,4.7289927876540014e-05,,767.671,769.496,3024293.6,67522,0,0,0.0,False,440.534,440.534,466867.4,466867.4,852710.0,126.2862,-153.3
66355f866e3d:000,VW16B,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw16b.csv,1126,112.501,SUCCESS,0.6557,True,True,0.0,0.0,0.0,5.105932504327415e-05,,54.54,77.705,5000.8,1125,0,0,0.0,False,34.871,34.871,2182.3,2182.3,3943.1,35.0495,
6896dfad520b:000,VTB5,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vtb5.csv,64388,6438.701,SUCCESS,0.1924,True,False,0.0163,0.00257,0.035521,4.5187392060656875e-05,,1623.941,1625.285,6585677.0,64387,0,0,0.0,False,1106.73,1106.73,891467.3,891467.3,1713765.3,266.1663,-150.02
68e3eeebef96:000,VW15,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw15.csv,1380,137.9,INSUFFICIENT_MOTION,0.0,False,True,0.6181,0.003373,0.035739,4.6895362322465044e-05,,4.498,4.536,359.3,1379,0,0,0.0,False,2.801,2.801,,,,,
6a95e9794088:000,T5,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-T5.csv,46387,2036.992,MAG_DISTURBED,0.0,False,False,0.3077,0.00365,0.022362,3.5154097053051863e-05,,70.751,78.886,83092.7,32137,14249,16569,0.0,False,47.641,47.641,39772.6,39772.6,44851.5,22.0185,48.39
